word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
characteristics,,3.0,,,1.0,
phytoplankton,5.0,8.0,7.0,11.0,14.0,4.0
biomass,2.0,3.0,3.0,4.0,6.0,2.0
production,1.0,5.0,3.0,1.0,4.0,
community,,3.0,1.0,,1.0,
structure,,3.0,,,,1.0
modaomen,2.0,3.0,5.0,2.0,11.0,2.0
channel,3.0,4.0,5.0,12.0,16.0,3.0
river,2.0,3.0,10.0,1.0,12.0,2.0
estuary,2.0,1.0,1.0,3.0,6.0,
reference,,,,,,
influence,,,,,,
saltwater,4.0,9.0,3.0,3.0,25.0,4.0
intrusion,3.0,10.0,2.0,1.0,20.0,3.0
spring,1.0,1.0,,2.0,2.0,
tides,,,,,,
effects,,1.0,,,,
assemblages,,,,,,
